"domain","division","category","brand","name","price","score","reviewCnt","image","link","weight","unit"
수산물/건해산,김/미역/기타해조류,미역,풀무원,자른 미역 (50g),3980,4.8,1545,https://sitem.ssgcdn.com/68/62/91/item/1000565916268_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000565916268&siteNo=7009&salestrNo=2551,50,g
수산물/건해산,김/미역/기타해조류,다시마,없음,[국산의힘] 고흥 다시마 300g,7980,4.8,8217,https://sitem.ssgcdn.com/72/38/67/item/1000012673872_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000012673872&siteNo=6001&salestrNo=2037,300,g
수산물/건해산,김/미역/기타해조류,다시마,노브랜드,사각다시마 150g,3980,4.8,1244,https://sitem.ssgcdn.com/20/21/51/item/1000336512120_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000336512120&siteNo=6001&salestrNo=2037,150,g
수산물/건해산,김/미역/기타해조류,다시마,오뚜기,옛날 자른 다시마 (20g),2380,4.7,163,https://sitem.ssgcdn.com/98/06/19/item/1000632190698_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000632190698&siteNo=7009&salestrNo=2551,20,g
수산물/건해산,김/미역/기타해조류,다시마,안옥남,완도 자른다시마 200g,5580,4.8,1360,https://sitem.ssgcdn.com/16/05/95/item/1000319950516_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000319950516&siteNo=6001&salestrNo=2037,200,g
수산물/건해산,김/미역/기타해조류,다시마,없음,[기장] 명품 기장애 다시마 (200g),11500,4.8,1263,https://sitem.ssgcdn.com/12/30/38/item/1000633383012_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000633383012&siteNo=7009&salestrNo=2551,200,g
수산물/건해산,김/미역/기타해조류,매생이,청해명가,[냉동]제철 국산 찰매생이(300g),9980,4.7,43,https://sitem.ssgcdn.com/85/88/99/item/1000632998885_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000632998885&siteNo=7009&salestrNo=2551,300,g
수산물/건해산,김/미역/기타해조류,감태,쇼핑의고수,서산 명품 수제 햇 생감태 40매 / 구운감태 32매,25800,5.0,10,https://sitem.ssgcdn.com/43/22/38/item/1000570382243_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000570382243&siteNo=6002&salestrNo=6005,300,g
수산물/건해산,김/미역/기타해조류,감태,바다숲,간하지 않은 생감태(5매),6900,4.0,5,https://sitem.ssgcdn.com/73/49/02/item/1000631024973_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000631024973&siteNo=6001&salestrNo=6005,300,g
수산물/건해산,건오징어/건어물/다시팩,진미채,청해명가,백진미 오징어채 (200g),14900,4.8,8190,https://sitem.ssgcdn.com/25/46/78/item/1000632784625_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000632784625&siteNo=7009&salestrNo=2551,200,g
수산물/건해산,건오징어/건어물/다시팩,진미채,없음,바른 진미오징어채 200g,13980,4.8,2543,https://sitem.ssgcdn.com/72/59/50/item/1000547505972_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000547505972&siteNo=6001&salestrNo=2037,200,g
수산물/건해산,건오징어/건어물/다시팩,진미채,없음,조미오징어 200g,10980,4.8,6524,https://sitem.ssgcdn.com/22/54/65/item/1000040655422_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000040655422&siteNo=6001&salestrNo=2037,200,g
수산물/건해산,건오징어/건어물/다시팩,진미채,없음,쫄깃 담백한 참진미오징어 200g,8980,4.8,1066,https://sitem.ssgcdn.com/65/73/70/item/1000303707365_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000303707365&siteNo=6001&salestrNo=2037,200,g
수산물/건해산,건오징어/건어물/다시팩,진미채,없음,DHA 진미오징어채 200g,13980,4.8,804,https://sitem.ssgcdn.com/68/59/50/item/1000547505968_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000547505968&siteNo=6001&salestrNo=2037,200,g
수산물/건해산,건오징어/건어물/다시팩,건새우,청해명가,[건어물연구소] 꽃새우볶음 90g.,5800,4.8,50,https://sitem.ssgcdn.com/98/81/31/item/1000632318198_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000632318198&siteNo=7009&salestrNo=2551,90,g
수산물/건해산,건오징어/건어물/다시팩,건새우,청해명가,[건어물연구소] 새우멸치볶음 100g.,5800,4.8,37,https://sitem.ssgcdn.com/96/81/31/item/1000632318196_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000632318196&siteNo=7009&salestrNo=2551,100,g
수산물/건해산,건오징어/건어물/다시팩,건새우,해통령,밥새우 500g 새우반찬 아이들반찬,9900,4.8,25,https://sitem.ssgcdn.com/50/53/99/item/1000028995350_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000028995350&siteNo=6001&salestrNo=6005,500,g
수산물/건해산,건오징어/건어물/다시팩,건새우,해맑은푸드,국산 두절새우 100g,9900,4.8,26,https://sitem.ssgcdn.com/29/50/35/item/1000038355029_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000038355029&siteNo=6001&salestrNo=6005,100,g
수산물/건해산,건오징어/건어물/다시팩,건새우,해맑은푸드,국산 건보리새우 200g,9900,4.8,25,https://sitem.ssgcdn.com/59/02/57/item/1000048570259_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000048570259&siteNo=6001&salestrNo=6005,200,g
수산물/건해산,건오징어/건어물/다시팩,육포,없음,원 쇠고기육포 200G,14980,4.7,182,https://sitem.ssgcdn.com/97/51/34/item/1000597345197_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000597345197&siteNo=6001&salestrNo=2037,200,g
수산물/건해산,건오징어/건어물/다시팩,육포,노브랜드,채끝 스테이크 육포 200g,11980,4.8,4956,https://sitem.ssgcdn.com/15/11/25/item/1000064251115_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000064251115&siteNo=6001&salestrNo=2037,200,g
수산물/건해산,건오징어/건어물/다시팩,어포,없음,[SSG랜더스] 크런치 튀김어포 100g,7980,4.7,15,https://sitem.ssgcdn.com/64/84/71/item/1000675718464_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000675718464&siteNo=7009&salestrNo=2551,100,g
수산물/건해산,건오징어/건어물/다시팩,쥐포,없음,순살구이 쥐포채 400g (200g*2),19980,4.7,473,https://sitem.ssgcdn.com/77/51/38/item/1000575385177_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000575385177&siteNo=6001&salestrNo=2037,400,g
수산물/건해산,건오징어/건어물/다시팩,어포,청해명가,가쓰오부시 40g,4680,4.9,3365,https://sitem.ssgcdn.com/84/06/69/item/1000049690684_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000049690684&siteNo=6001&salestrNo=2037,40,g
수산물/건해산,건오징어/건어물/다시팩,다시팩,청해명가,삼천포 디포리 해물 다시팩 320g (16g*20),14800,4.8,7577,https://sitem.ssgcdn.com/49/04/72/item/1000033720449_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000033720449&siteNo=6001&salestrNo=2037,320,g
